time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447800000	20.247	10.8613	4.85243	1.40308	0.514748	lidar	2.08386	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2727	11.1259	4.91852	1.43455	0.515191	radar	4.84219	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3075	11.3618	4.90402	1.45671	0.510792	lidar	0.0182152	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2499	11.6109	4.81222	1.5412	0.617893	radar	9.41398	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3259	11.8464	4.8075	1.53991	0.578574	lidar	5.01353	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.351	12.083	4.87048	1.53926	0.511347	radar	3.78874	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3335	12.3797	4.98165	1.58079	0.5304	lidar	0.895095	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2819	12.6175	4.90601	1.64286	0.601074	radar	2.63824	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3121	12.8493	4.87252	1.64964	0.573062	lidar	2.02473	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3023	13.0771	4.83676	1.67245	0.567593	radar	2.11637	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2689	13.281	4.76317	1.7007	0.567545	lidar	1.00349	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2307	13.5151	4.77898	1.72453	0.551901	radar	1.33012	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2094	13.7785	4.83089	1.74524	0.543575	lidar	1.37344	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1554	14.0025	4.79332	1.78116	0.563085	radar	0.763397	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0974	14.2628	4.85124	1.81157	0.565795	lidar	0.355126	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0249	14.4915	4.84975	1.8425	0.565383	radar	1.36624	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9101	14.7534	4.93605	1.88967	0.587901	lidar	1.04919	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8445	14.9691	4.90939	1.90256	0.550244	radar	3.40945	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8232	15.1782	4.82422	1.90575	0.521731	lidar	2.28685	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6949	15.3824	4.74305	1.98737	0.648646	radar	6.7547	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6767	15.5571	4.59915	1.98973	0.613306	lidar	3.34329	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5894	15.7544	4.57491	2.01343	0.598173	radar	1.27526	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4805	15.9741	4.6109	2.04505	0.600086	lidar	0.0834374	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3821	16.1786	4.61959	2.0574	0.556132	radar	1.73459	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2727	16.3548	4.56706	2.08777	0.55938	lidar	0.453024	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
